x,f(x)
0,0.387
0.01,0.387
0.02,0.387
0.03,0.3871
0.04,0.3872
0.05,0.3873
0.06,0.3874
0.07,0.3876
0.08,0.3878
0.09,0.388
0.1,0.3883
0.11,0.3886
0.12,0.3889
0.13,0.3893
0.14,0.3898
0.15,0.3903
0.16,0.3908
0.17,0.3914
0.18,0.3921
0.19,0.3929
0.2,0.3937
0.21,0.3946
0.22,0.3956
0.23,0.3966
0.24,0.3978
0.25,0.3991
0.26,0.4004
0.27,0.4019
0.28,0.4034
0.29,0.4051
0.3,0.4069
0.31,0.4088
0.32,0.4108
0.33,0.413
0.34,0.4153
0.35,0.4177
0.36,0.4203
0.37,0.4229
0.38,0.4258
0.39,0.4287
0.4,0.4318
0.41,0.4351
0.42,0.4384
0.43,0.4419
0.44,0.4456
0.45,0.4494
0.46,0.4533
0.47,0.4573
0.48,0.4615
0.49,0.4658
0.5,0.4702
0.51,0.4748
0.52,0.4794
0.53,0.4842
0.54,0.4891
0.55,0.494
0.56,0.4991
0.57,0.5042
0.58,0.5094
0.59,0.5147
0.6,0.52
0.61,0.5254
0.62,0.5309
0.63,0.5363
0.64,0.5418
0.65,0.5473
0.66,0.5528
0.67,0.5583
0.68,0.5638
0.69,0.5693
0.7,0.5747
0.71,0.5801
0.72,0.5854
0.73,0.5907
0.74,0.5959
0.75,0.601
0.76,0.6059
0.77,0.6108
0.78,0.6156
0.79,0.6202
0.8,0.6247
0.81,0.629
0.82,0.6332
0.83,0.6372
0.84,0.641
0.85,0.6447
0.86,0.6481
0.87,0.6514
0.88,0.6544
0.89,0.6572
0.9,0.6598
0.91,0.6622
0.92,0.6643
0.93,0.6662
0.94,0.6679
0.95,0.6693
0.96,0.6704
0.97,0.6713
0.98,0.672
0.99,0.6724
1,0.6725
