x,f(x)
0,0.3895
0.01,0.3895
0.02,0.3895
0.03,0.3895
0.04,0.3895
0.05,0.3895
0.06,0.3896
0.07,0.3896
0.08,0.3897
0.09,0.3897
0.1,0.3898
0.11,0.3899
0.12,0.3899
0.13,0.39
0.14,0.3901
0.15,0.3902
0.16,0.3903
0.17,0.3904
0.18,0.3905
0.19,0.3906
0.2,0.3908
0.21,0.3909
0.22,0.391
0.23,0.3912
0.24,0.3913
0.25,0.3915
0.26,0.3917
0.27,0.3918
0.28,0.392
0.29,0.3922
0.3,0.3924
0.31,0.3926
0.32,0.3928
0.33,0.393
0.34,0.3933
0.35,0.3935
0.36,0.3937
0.37,0.394
0.38,0.3942
0.39,0.3944
0.4,0.3947
0.41,0.395
0.42,0.3952
0.43,0.3955
0.44,0.3958
0.45,0.3961
0.46,0.3964
0.47,0.3967
0.48,0.397
0.49,0.3973
0.5,0.3976
0.51,0.3979
0.52,0.3982
0.53,0.3985
0.54,0.3988
0.55,0.3992
0.56,0.3995
0.57,0.3998
0.58,0.4001
0.59,0.4005
0.6,0.4008
0.61,0.4011
0.62,0.4015
0.63,0.4018
0.64,0.4021
0.65,0.4025
0.66,0.4028
0.67,0.4031
0.68,0.4034
0.69,0.4037
0.7,0.4041
0.71,0.4044
0.72,0.4047
0.73,0.405
0.74,0.4053
0.75,0.4056
0.76,0.4058
0.77,0.4061
0.78,0.4064
0.79,0.4066
0.8,0.4069
0.81,0.4071
0.82,0.4074
0.83,0.4076
0.84,0.4078
0.85,0.408
0.86,0.4082
0.87,0.4084
0.88,0.4085
0.89,0.4087
0.9,0.4088
0.91,0.4089
0.92,0.4091
0.93,0.4092
0.94,0.4093
0.95,0.4093
0.96,0.4094
0.97,0.4094
0.98,0.4095
0.99,0.4095
1,0.4095
