x,f(x)
0,0.3899
0.01,0.3899
0.02,0.3899
0.03,0.3899
0.04,0.3899
0.05,0.3899
0.06,0.3899
0.07,0.3899
0.08,0.3899
0.09,0.3899
0.1,0.3899
0.11,0.3899
0.12,0.3899
0.13,0.3899
0.14,0.3899
0.15,0.3899
0.16,0.3899
0.17,0.3899
0.18,0.3899
0.19,0.3899
0.2,0.3899
0.21,0.3899
0.22,0.3899
0.23,0.3899
0.24,0.3899
0.25,0.3899
0.26,0.3899
0.27,0.3899
0.28,0.3899
0.29,0.3899
0.3,0.3899
0.31,0.3899
0.32,0.3899
0.33,0.3899
0.34,0.3899
0.35,0.3899
0.36,0.3899
0.37,0.3899
0.38,0.3899
0.39,0.3899
0.4,0.3899
0.41,0.3899
0.42,0.3899
0.43,0.3899
0.44,0.3899
0.45,0.3899
0.46,0.3899
0.47,0.3899
0.48,0.3899
0.49,0.3899
0.5,0.3899
0.51,0.3899
0.52,0.3899
0.53,0.3899
0.54,0.3899
0.55,0.3899
0.56,0.3899
0.57,0.3899
0.58,0.3899
0.59,0.3899
0.6,0.3899
0.61,0.3899
0.62,0.3899
0.63,0.3899
0.64,0.3899
0.65,0.3899
0.66,0.3899
0.67,0.3899
0.68,0.3899
0.69,0.3899
0.7,0.3899
0.71,0.3899
0.72,0.3899
0.73,0.3899
0.74,0.3899
0.75,0.3899
0.76,0.3899
0.77,0.3899
0.78,0.3899
0.79,0.3899
0.8,0.3899
0.81,0.3899
0.82,0.3899
0.83,0.3899
0.84,0.3899
0.85,0.3899
0.86,0.3899
0.87,0.3899
0.88,0.3899
0.89,0.3899
0.9,0.3899
0.91,0.3899
0.92,0.3899
0.93,0.3899
0.94,0.3899
0.95,0.3899
0.96,0.3899
0.97,0.3899
0.98,0.3899
0.99,0.3899
1,0.3899
