x,f(x)
0,0.2726
0.01,0.2728
0.02,0.2732
0.03,0.274
0.04,0.275
0.05,0.2764
0.06,0.278
0.07,0.2799
0.08,0.2822
0.09,0.2847
0.1,0.2875
0.11,0.2906
0.12,0.294
0.13,0.2976
0.14,0.3015
0.15,0.3057
0.16,0.3101
0.17,0.3149
0.18,0.3198
0.19,0.325
0.2,0.3304
0.21,0.3361
0.22,0.342
0.23,0.3482
0.24,0.3545
0.25,0.361
0.26,0.3678
0.27,0.3747
0.28,0.3818
0.29,0.3891
0.3,0.3966
0.31,0.4042
0.32,0.412
0.33,0.4199
0.34,0.428
0.35,0.4362
0.36,0.4445
0.37,0.4529
0.38,0.4614
0.39,0.47
0.4,0.4786
0.41,0.4874
0.42,0.4962
0.43,0.5051
0.44,0.514
0.45,0.5229
0.46,0.5319
0.47,0.5408
0.48,0.5498
0.49,0.5588
0.5,0.5678
0.51,0.5767
0.52,0.5856
0.53,0.5945
0.54,0.6033
0.55,0.6121
0.56,0.6208
0.57,0.6295
0.58,0.638
0.59,0.6465
0.6,0.6549
0.61,0.6631
0.62,0.6713
0.63,0.6793
0.64,0.6873
0.65,0.695
0.66,0.7027
0.67,0.7101
0.68,0.7175
0.69,0.7246
0.7,0.7316
0.71,0.7385
0.72,0.7451
0.73,0.7516
0.74,0.7579
0.75,0.764
0.76,0.7698
0.77,0.7755
0.78,0.781
0.79,0.7863
0.8,0.7913
0.81,0.7961
0.82,0.8007
0.83,0.8051
0.84,0.8092
0.85,0.8131
0.86,0.8168
0.87,0.8202
0.88,0.8234
0.89,0.8263
0.9,0.829
0.91,0.8314
0.92,0.8336
0.93,0.8355
0.94,0.8372
0.95,0.8386
0.96,0.8398
0.97,0.8407
0.98,0.8413
0.99,0.8417
1,0.8418
