x,f(x)
0,0.3046
0.01,0.3047
0.02,0.3049
0.03,0.3053
0.04,0.3058
0.05,0.3065
0.06,0.3073
0.07,0.3083
0.08,0.3095
0.09,0.3108
0.1,0.3122
0.11,0.3138
0.12,0.3156
0.13,0.3174
0.14,0.3195
0.15,0.3216
0.16,0.3239
0.17,0.3263
0.18,0.3289
0.19,0.3316
0.2,0.3344
0.21,0.3373
0.22,0.3404
0.23,0.3436
0.24,0.3468
0.25,0.3502
0.26,0.3537
0.27,0.3573
0.28,0.361
0.29,0.3648
0.3,0.3687
0.31,0.3727
0.32,0.3768
0.33,0.3809
0.34,0.3851
0.35,0.3894
0.36,0.3937
0.37,0.3982
0.38,0.4026
0.39,0.4071
0.4,0.4117
0.41,0.4163
0.42,0.421
0.43,0.4257
0.44,0.4304
0.45,0.4351
0.46,0.4399
0.47,0.4446
0.48,0.4494
0.49,0.4542
0.5,0.459
0.51,0.4638
0.52,0.4686
0.53,0.4733
0.54,0.4781
0.55,0.4828
0.56,0.4875
0.57,0.4922
0.58,0.4968
0.59,0.5014
0.6,0.5059
0.61,0.5104
0.62,0.5149
0.63,0.5193
0.64,0.5236
0.65,0.5279
0.66,0.5321
0.67,0.5362
0.68,0.5402
0.69,0.5442
0.7,0.548
0.71,0.5518
0.72,0.5555
0.73,0.5591
0.74,0.5626
0.75,0.566
0.76,0.5693
0.77,0.5724
0.78,0.5755
0.79,0.5784
0.8,0.5813
0.81,0.584
0.82,0.5866
0.83,0.589
0.84,0.5914
0.85,0.5936
0.86,0.5956
0.87,0.5976
0.88,0.5994
0.89,0.601
0.9,0.6025
0.91,0.6039
0.92,0.6052
0.93,0.6063
0.94,0.6072
0.95,0.608
0.96,0.6087
0.97,0.6092
0.98,0.6096
0.99,0.6098
1,0.6099
