x,f(x)
0,0.5005
0.01,0.5005
0.02,0.5005
0.03,0.5005
0.04,0.5005
0.05,0.5004
0.06,0.5004
0.07,0.5004
0.08,0.5004
0.09,0.5004
0.1,0.5004
0.11,0.5004
0.12,0.5004
0.13,0.5003
0.14,0.5003
0.15,0.5003
0.16,0.5003
0.17,0.5002
0.18,0.5002
0.19,0.5002
0.2,0.5002
0.21,0.5001
0.22,0.5001
0.23,0.5001
0.24,0.5
0.25,0.5
0.26,0.5
0.27,0.4999
0.28,0.4999
0.29,0.4998
0.3,0.4998
0.31,0.4998
0.32,0.4997
0.33,0.4997
0.34,0.4996
0.35,0.4996
0.36,0.4995
0.37,0.4995
0.38,0.4994
0.39,0.4994
0.4,0.4993
0.41,0.4993
0.42,0.4992
0.43,0.4992
0.44,0.4991
0.45,0.499
0.46,0.499
0.47,0.4989
0.48,0.4989
0.49,0.4988
0.5,0.4988
0.51,0.4987
0.52,0.4986
0.53,0.4986
0.54,0.4985
0.55,0.4985
0.56,0.4984
0.57,0.4984
0.58,0.4983
0.59,0.4982
0.6,0.4982
0.61,0.4981
0.62,0.4981
0.63,0.498
0.64,0.4979
0.65,0.4979
0.66,0.4978
0.67,0.4978
0.68,0.4977
0.69,0.4977
0.7,0.4976
0.71,0.4976
0.72,0.4975
0.73,0.4975
0.74,0.4974
0.75,0.4974
0.76,0.4973
0.77,0.4973
0.78,0.4972
0.79,0.4972
0.8,0.4972
0.81,0.4971
0.82,0.4971
0.83,0.4971
0.84,0.497
0.85,0.497
0.86,0.497
0.87,0.4969
0.88,0.4969
0.89,0.4969
0.9,0.4969
0.91,0.4968
0.92,0.4968
0.93,0.4968
0.94,0.4968
0.95,0.4968
0.96,0.4968
0.97,0.4968
0.98,0.4968
0.99,0.4968
1,0.4968
