x,f(x)
0,0.4135
0.01,0.4135
0.02,0.4136
0.03,0.4136
0.04,0.4137
0.05,0.4138
0.06,0.4139
0.07,0.414
0.08,0.4142
0.09,0.4144
0.1,0.4146
0.11,0.4148
0.12,0.415
0.13,0.4153
0.14,0.4156
0.15,0.4159
0.16,0.4162
0.17,0.4165
0.18,0.4169
0.19,0.4173
0.2,0.4177
0.21,0.4181
0.22,0.4185
0.23,0.419
0.24,0.4194
0.25,0.4199
0.26,0.4204
0.27,0.4209
0.28,0.4214
0.29,0.4219
0.3,0.4225
0.31,0.423
0.32,0.4236
0.33,0.4242
0.34,0.4248
0.35,0.4254
0.36,0.426
0.37,0.4266
0.38,0.4272
0.39,0.4279
0.4,0.4285
0.41,0.4292
0.42,0.4298
0.43,0.4305
0.44,0.4311
0.45,0.4318
0.46,0.4325
0.47,0.4331
0.48,0.4338
0.49,0.4345
0.5,0.4352
0.51,0.4358
0.52,0.4365
0.53,0.4372
0.54,0.4379
0.55,0.4385
0.56,0.4392
0.57,0.4398
0.58,0.4405
0.59,0.4411
0.6,0.4418
0.61,0.4424
0.62,0.443
0.63,0.4437
0.64,0.4443
0.65,0.4449
0.66,0.4455
0.67,0.4461
0.68,0.4466
0.69,0.4472
0.7,0.4477
0.71,0.4483
0.72,0.4488
0.73,0.4493
0.74,0.4498
0.75,0.4503
0.76,0.4507
0.77,0.4512
0.78,0.4516
0.79,0.452
0.8,0.4524
0.81,0.4528
0.82,0.4532
0.83,0.4535
0.84,0.4538
0.85,0.4542
0.86,0.4545
0.87,0.4547
0.88,0.455
0.89,0.4552
0.9,0.4554
0.91,0.4556
0.92,0.4558
0.93,0.456
0.94,0.4561
0.95,0.4562
0.96,0.4563
0.97,0.4564
0.98,0.4564
0.99,0.4565
1,0.4565
