x,f(x)
0,0.487
0.01,0.487
0.02,0.4871
0.03,0.4873
0.04,0.4875
0.05,0.4878
0.06,0.4881
0.07,0.4885
0.08,0.489
0.09,0.4896
0.1,0.4902
0.11,0.4908
0.12,0.4916
0.13,0.4923
0.14,0.4932
0.15,0.4941
0.16,0.4951
0.17,0.4961
0.18,0.4972
0.19,0.4984
0.2,0.4996
0.21,0.5009
0.22,0.5022
0.23,0.5036
0.24,0.505
0.25,0.5065
0.26,0.5081
0.27,0.5097
0.28,0.5114
0.29,0.5131
0.3,0.5149
0.31,0.5167
0.32,0.5186
0.33,0.5205
0.34,0.5225
0.35,0.5245
0.36,0.5265
0.37,0.5286
0.38,0.5308
0.39,0.5329
0.4,0.5352
0.41,0.5374
0.42,0.5397
0.43,0.542
0.44,0.5443
0.45,0.5467
0.46,0.5491
0.47,0.5515
0.48,0.554
0.49,0.5564
0.5,0.5589
0.51,0.5614
0.52,0.5639
0.53,0.5664
0.54,0.5689
0.55,0.5714
0.56,0.5739
0.57,0.5764
0.58,0.5789
0.59,0.5814
0.6,0.5839
0.61,0.5863
0.62,0.5888
0.63,0.5912
0.64,0.5936
0.65,0.596
0.66,0.5983
0.67,0.6007
0.68,0.603
0.69,0.6052
0.7,0.6074
0.71,0.6096
0.72,0.6117
0.73,0.6138
0.74,0.6158
0.75,0.6178
0.76,0.6197
0.77,0.6215
0.78,0.6233
0.79,0.6251
0.8,0.6267
0.81,0.6283
0.82,0.6299
0.83,0.6313
0.84,0.6327
0.85,0.634
0.86,0.6353
0.87,0.6364
0.88,0.6375
0.89,0.6385
0.9,0.6394
0.91,0.6402
0.92,0.641
0.93,0.6417
0.94,0.6422
0.95,0.6427
0.96,0.6431
0.97,0.6434
0.98,0.6437
0.99,0.6438
1,0.6438
