x,f(x)
0,0.6391
0.01,0.639
0.02,0.6389
0.03,0.6388
0.04,0.6385
0.05,0.6382
0.06,0.6378
0.07,0.6374
0.08,0.6369
0.09,0.6363
0.1,0.6356
0.11,0.6349
0.12,0.6342
0.13,0.6333
0.14,0.6324
0.15,0.6315
0.16,0.6305
0.17,0.6294
0.18,0.6283
0.19,0.6272
0.2,0.6259
0.21,0.6247
0.22,0.6234
0.23,0.622
0.24,0.6206
0.25,0.6192
0.26,0.6177
0.27,0.6162
0.28,0.6147
0.29,0.6131
0.3,0.6116
0.31,0.61
0.32,0.6083
0.33,0.6067
0.34,0.605
0.35,0.6033
0.36,0.6016
0.37,0.5999
0.38,0.5982
0.39,0.5965
0.4,0.5948
0.41,0.593
0.42,0.5913
0.43,0.5896
0.44,0.5879
0.45,0.5862
0.46,0.5845
0.47,0.5828
0.48,0.5812
0.49,0.5795
0.5,0.5779
0.51,0.5763
0.52,0.5747
0.53,0.5731
0.54,0.5716
0.55,0.5701
0.56,0.5686
0.57,0.5671
0.58,0.5657
0.59,0.5643
0.6,0.5629
0.61,0.5616
0.62,0.5603
0.63,0.559
0.64,0.5578
0.65,0.5566
0.66,0.5554
0.67,0.5543
0.68,0.5532
0.69,0.5521
0.7,0.5511
0.71,0.5501
0.72,0.5492
0.73,0.5482
0.74,0.5474
0.75,0.5465
0.76,0.5457
0.77,0.545
0.78,0.5442
0.79,0.5435
0.8,0.5429
0.81,0.5422
0.82,0.5416
0.83,0.5411
0.84,0.5406
0.85,0.5401
0.86,0.5396
0.87,0.5392
0.88,0.5388
0.89,0.5385
0.9,0.5381
0.91,0.5378
0.92,0.5376
0.93,0.5373
0.94,0.5371
0.95,0.537
0.96,0.5368
0.97,0.5367
0.98,0.5367
0.99,0.5366
1,0.5366
