x,f(x)
0,0.01515
0.01,0.01597
0.02,0.01841
0.03,0.0225
0.04,0.02827
0.05,0.03572
0.06,0.04483
0.07,0.05556
0.08,0.06782
0.09,0.08146
0.1,0.0963
0.11,0.1122
0.12,0.1288
0.13,0.1461
0.14,0.1637
0.15,0.1817
0.16,0.1999
0.17,0.2181
0.18,0.2365
0.19,0.2548
0.2,0.273
0.21,0.2912
0.22,0.3091
0.23,0.3267
0.24,0.344
0.25,0.3609
0.26,0.3774
0.27,0.3934
0.28,0.4089
0.29,0.424
0.3,0.4387
0.31,0.4529
0.32,0.4666
0.33,0.4799
0.34,0.4925
0.35,0.5045
0.36,0.5159
0.37,0.5265
0.38,0.5363
0.39,0.5453
0.4,0.5536
0.41,0.5611
0.42,0.5679
0.43,0.5739
0.44,0.5792
0.45,0.5838
0.46,0.5877
0.47,0.5907
0.48,0.5929
0.49,0.5943
0.5,0.5947
0.51,0.5943
0.52,0.5929
0.53,0.5907
0.54,0.5877
0.55,0.5838
0.56,0.5792
0.57,0.5739
0.58,0.5679
0.59,0.5611
0.6,0.5536
0.61,0.5453
0.62,0.5363
0.63,0.5265
0.64,0.5159
0.65,0.5045
0.66,0.4925
0.67,0.4799
0.68,0.4666
0.69,0.4529
0.7,0.4387
0.71,0.424
0.72,0.4089
0.73,0.3934
0.74,0.3774
0.75,0.3609
0.76,0.344
0.77,0.3267
0.78,0.3091
0.79,0.2912
0.8,0.273
0.81,0.2548
0.82,0.2365
0.83,0.2181
0.84,0.1999
0.85,0.1817
0.86,0.1637
0.87,0.1461
0.88,0.1288
0.89,0.1122
0.9,0.0963
0.91,0.08146
0.92,0.06782
0.93,0.05556
0.94,0.04483
0.95,0.03572
0.96,0.02827
0.97,0.0225
0.98,0.01841
0.99,0.01597
1,0.01515
